,atom,x,y,z
0,P,0.79,-0.0003,0.0005
1,N,0.3869,0.9882,1.3276
2,N,0.3885,0.6556,-1.5192
3,N,0.3866,-1.6439,0.1925
4,O,2.2617,-0.0009,0.0014
5,C,-0.8972,-2.2826,0.105
6,C,-1.8904,-1.3027,-0.5005
7,C,-0.8947,1.0502,-2.0302
8,C,-1.8893,1.0848,-0.88
9,C,-0.8969,1.2331,1.9238
10,C,-1.8909,0.2196,1.3774
11,N,-1.5256,0.0005,-0.0008
12,C,1.3929,-2.5328,0.7243
13,C,1.3959,0.639,-2.5538
14,C,1.3936,1.8929,1.8313
15,H,-1.2316,-2.6223,1.1004
16,H,-0.8189,-3.1794,-0.5254
17,H,-2.9271,-1.572,-0.2538
18,H,-1.7783,-1.3061,-1.5843
19,H,-1.2282,0.3578,-2.8223
20,H,-0.8162,2.0444,-2.492
21,H,-2.9256,1.0059,-1.2378
22,H,-1.7777,2.0251,-0.3409
23,H,-1.2303,2.2652,1.7201
24,H,-0.8194,1.1355,3.0157
25,H,-2.9273,0.5689,1.4868
26,H,-1.7798,-0.7174,1.9223
27,H,2.3365,-2.0007,0.7758
28,H,1.5089,-3.4053,0.0732
29,H,1.1206,-2.8833,1.727
30,H,2.3391,0.3287,-2.1175
31,H,1.5123,1.6389,-2.9844
32,H,1.1247,-0.0548,-3.3586
33,H,1.1219,2.9366,1.6328
34,H,2.3372,1.6706,1.345
35,H,1.5093,1.7657,2.9126
