,atom,x,y,z
0,P,-0.0779,-0.2208,-0.3842
1,O,0.8488,1.123,-0.3906
2,N,-1.5743,0.2954,0.1753
3,N,0.5644,-1.1424,0.8738
4,O,-0.1155,-0.8536,-1.7088
5,C,1.4445,1.5606,-1.6034
6,C,-2.5863,0.7217,-0.7879
7,C,-1.6474,0.838,1.5217
8,C,0.1757,-2.554,0.8985
9,C,1.8576,-0.8686,1.4988
10,C,2.81,2.1178,-1.3476
11,H,0.8169,2.359,-2.026
12,H,1.4757,0.7339,-2.3197
13,C,-2.046,1.6934,-1.8369
14,H,-3.3632,1.2396,-0.2162
15,C,-3.2298,-0.4833,-1.4712
16,C,-2.9532,0.4607,2.2277
17,C,-1.4378,2.3532,1.5777
18,H,-0.8248,0.3565,2.0549
19,H,0.3683,-2.9031,1.9251
20,C,0.9847,-3.4181,-0.0715
21,C,-1.3086,-2.734,0.6205
22,C,3.0261,-0.7374,0.5145
23,H,2.0579,-1.7401,2.1357
24,C,1.7966,0.3548,2.4121
25,C,3.8542,1.912,-2.1285
26,H,2.8836,2.7468,-0.4698
27,H,3.789,1.2869,-3.0033
28,H,4.8119,2.3607,-1.9281
29,H,-1.325,1.1838,-2.469
30,H,-1.5668,2.5451,-1.3591
31,H,-2.8606,2.058,-2.4602
32,H,-3.6448,-1.1619,-0.7307
33,H,-2.4876,-1.0106,-2.0611
34,H,-4.0302,-0.1511,-2.1289
35,H,-3.7973,1.0294,1.8449
36,H,-2.8617,0.671,3.2907
37,H,-3.1689,-0.5968,2.1019
38,H,-0.5087,2.6183,1.081
39,H,-1.3862,2.6811,2.6136
40,H,-2.2576,2.879,1.0926
41,H,0.8766,-3.0228,-1.0772
42,H,0.6128,-4.4401,-0.0528
43,H,2.0376,-3.4336,0.1981
44,H,-1.5805,-3.7772,0.7708
45,H,-1.5292,-2.4569,-0.4037
46,H,-1.8972,-2.1183,1.2925
47,H,3.96,-0.9959,1.0112
48,H,3.1081,0.279,0.1442
49,H,2.888,-1.3984,-0.3361
50,H,1.0796,0.1999,3.2154
51,H,1.511,1.2343,1.8453
52,H,2.7765,0.5231,2.8542
