,atom,x,y,z
0,P,0.2612,-0.0239,-0.6643
1,N,1.5843,0.8837,-0.1686
2,N,-1.1932,0.5134,-0.0315
3,N,0.461,-1.4613,0.2166
4,O,0.2056,-0.129,-2.1248
5,C,2.1936,1.7917,-1.1169
6,C,1.7405,1.3115,1.2038
7,C,-2.0002,1.4249,-0.8062
8,C,-1.6095,0.445,1.3457
9,C,-0.5549,-2.4378,-0.1819
10,C,1.8024,-2.0286,0.2275
11,H,1.9459,1.4441,-2.1197
12,H,3.2828,1.7535,-0.9881
13,C,1.6841,3.2214,-0.9059
14,H,1.1815,0.6312,1.8463
15,C,1.2507,2.7561,1.387
16,H,2.8041,1.245,1.4689
17,H,-1.6501,1.3946,-1.8388
18,H,-1.9116,2.4511,-0.4193
19,C,-3.4639,1.0014,-0.7252
20,H,-0.9947,-0.2896,1.8667
21,C,-3.0852,0.0461,1.4164
22,H,-1.5015,1.424,1.8353
23,H,-0.7137,-2.4207,-1.2682
24,H,-1.4968,-2.1709,0.3025
25,C,-0.1422,-3.8381,0.2415
26,H,2.0156,-2.4141,1.2342
27,H,2.5219,-1.2397,0.0024
28,C,1.9225,-3.1558,-0.7973
29,H,0.6109,3.2413,-1.1276
30,H,2.1927,3.9103,-1.583
31,H,0.1707,2.7884,1.21
32,H,1.4463,3.0941,2.4072
33,H,-3.5774,0.005,-1.1886
34,H,-4.0834,1.7148,-1.2732
35,H,-3.2104,-0.9816,1.026
36,H,-3.4142,0.0604,2.4587
37,H,-0.9542,-4.5409,0.0263
38,H,0.027,-3.8428,1.3334
39,H,2.9529,-3.5115,-0.8507
40,H,1.6477,-2.7545,-1.7794
41,N,-3.8864,0.9934,0.665
42,C,-5.3008,0.723,0.7969
43,H,-5.8592,1.484,0.2541
44,H,-5.5762,0.7728,1.8496
45,H,-5.5847,-0.267,0.4057
46,N,1.038,-4.2741,-0.4898
47,C,1.6918,-5.3768,0.1763
48,H,0.9723,-6.1868,0.2947
49,H,2.0847,-5.116,1.1727
50,H,2.5128,-5.7334,-0.4434
51,N,1.8544,3.693,0.458
52,C,3.2121,4.0679,0.7894
53,H,3.2182,4.4923,1.7932
54,H,3.5381,4.8365,0.0895
55,H,3.9368,3.2428,0.7581
