,atom,x,y,z
0,P,0.0683,-0.5729,-0.3787
1,N,1.0397,0.7703,-0.176
2,N,-1.5347,-0.3969,0.0887
3,N,0.6421,-1.5488,0.8857
4,O,0.1349,-1.0577,-1.7619
5,C,1.354,1.5974,-1.321
6,C,1.3168,1.4288,1.0801
7,C,-1.9734,0.0676,1.383
8,C,-2.5485,-0.2657,-0.9241
9,C,2.0654,-1.8237,0.8811
10,C,-0.0971,-2.7658,1.1532
11,H,1.04,1.0648,-2.2186
12,H,2.442,1.744,-1.3652
13,C,0.6444,2.9526,-1.2198
14,H,1.0063,0.7797,1.8988
15,C,0.5991,2.7847,1.1449
16,H,2.4025,1.5841,1.1622
17,H,-1.0938,0.2974,1.9819
18,H,-2.5332,-0.7299,1.8946
19,C,-2.885,1.3013,1.2384
20,H,-2.166,-0.7069,-1.8437
21,C,-2.9205,1.2094,-1.1473
22,H,-3.4311,-0.8345,-0.604
23,H,2.3537,-2.1165,1.8979
24,H,2.6017,-0.9167,0.6007
25,C,2.428,-2.9447,-0.09
26,H,-1.1643,-2.5579,1.0767
27,H,0.1391,-3.0823,2.1762
28,C,0.2712,-3.8839,0.1805
29,H,-0.4345,2.7817,-1.2514
30,H,0.9314,3.5933,-2.0564
31,H,-0.4786,2.6106,1.1036
32,H,0.8492,3.3007,2.075
33,H,-2.7345,1.9749,2.0851
34,H,-3.9459,0.9916,1.2419
35,H,-2.379,1.6101,-2.009
36,H,-4.0033,1.2877,-1.3553
37,H,3.4988,-3.1553,-0.0242
38,H,2.1927,-2.6101,-1.1147
39,H,-0.0288,-3.5766,-0.8361
40,H,-0.2692,-4.7961,0.4477
41,N,-2.5461,2.0014,0.0147
42,C,-3.112,3.3303,-0.0466
43,H,-2.7957,3.8075,-0.9731
44,H,-2.7394,3.9202,0.7897
45,H,-4.2134,3.3242,-0.0153
46,N,1.6965,-4.1501,0.2575
47,C,2.0761,-5.2635,-0.5843
48,H,1.5302,-6.151,-0.2663
49,H,3.1431,-5.4489,-0.4675
50,H,1.8643,-5.0821,-1.6495
51,N,0.9199,3.6508,0.0246
52,C,2.2315,4.2573,0.0907
53,H,3.0712,3.5498,0.0468
54,H,2.3066,4.8192,1.0217
55,H,2.3311,4.9554,-0.7403
