,atom,x,y,z
0,P,-0.3386,-0.5139,-0.4694
1,N,0.511,0.9003,-0.206
2,N,-1.8937,-0.5843,0.1855
3,N,0.4945,-1.5637,0.5753
4,O,-0.3658,-0.8536,-1.8958
5,C,0.7905,1.4497,1.1008
6,C,0.5278,1.9029,-1.2496
7,C,-2.9577,-0.162,-0.6899
8,C,-2.1424,-0.2116,1.5575
9,C,-0.1238,-2.869,0.7572
10,C,1.9013,-1.6565,0.1742
11,H,0.8219,0.6352,1.8251
12,H,0.0085,2.1613,1.3953
13,C,2.1526,2.1627,1.0619
14,H,0.3412,1.4017,-2.1999
15,C,1.9009,2.5838,-1.2603
16,H,-0.2567,2.6529,-1.0831
17,H,-3.8884,-0.618,-0.333
18,H,-2.7413,-0.5418,-1.6881
19,C,-3.0793,1.371,-0.7114
20,H,-2.8444,-0.9334,1.9969
21,C,-2.741,1.2058,1.6466
22,H,-1.1999,-0.2799,2.0991
23,H,-1.2028,-2.7546,0.6439
24,H,0.0863,-3.23,1.7707
25,C,0.3901,-3.8677,-0.271
26,H,2.4634,-0.8598,0.6702
27,H,2.0015,-1.517,-0.9116
28,C,2.4838,-3.0132,0.5671
29,H,2.9355,1.423,0.8648
30,H,2.3552,2.6311,2.0279
31,H,2.6644,1.8359,-1.4953
32,H,1.9302,3.3639,-2.0236
33,H,-4.1459,1.6614,-0.7279
34,H,-2.6004,1.7735,-1.6081
35,H,-3.8369,1.1509,1.7778
36,H,-2.329,1.7331,2.5099
37,H,0.1974,-3.4425,-1.269
38,H,-0.153,-4.8155,-0.1894
39,H,2.4038,-3.1334,1.6535
40,H,3.5437,-3.041,0.3076
41,N,-2.3963,1.9384,0.4419
42,C,-2.6675,3.3531,0.5627
43,H,-2.0904,3.7653,1.3908
44,H,-3.7336,3.5672,0.7409
45,H,-2.3693,3.8545,-0.3581
46,N,1.8096,-4.1364,-0.0662
47,C,2.4366,-4.5788,-1.2922
48,H,2.4141,-3.8206,-2.09
49,H,1.9109,-5.4645,-1.6475
50,H,3.4718,-4.8498,-1.089
51,N,2.2533,3.169,0.0222
52,C,1.553,4.3998,0.3217
53,H,1.9482,4.8043,1.2535
54,H,0.4646,4.2945,0.4234
55,H,1.7555,5.1147,-0.4754
