,atom,x,y,z
0,P,0.0843,-0.0048,-0.3403
1,N,0.3234,1.5027,0.3987
2,N,-1.4046,-0.5244,0.2623
3,N,1.2539,-1.0096,0.3484
4,O,0.1332,0.012,-1.8048
5,C,1.3556,1.716,1.3877
6,C,0.2379,2.6336,-0.5026
7,C,-2.0154,0.0594,1.433
8,C,-2.3958,-0.9575,-0.6963
9,C,0.9812,-1.7834,1.5387
10,C,2.0817,-1.7556,-0.5749
11,H,1.4393,0.8362,2.0239
12,H,1.0598,2.5778,1.998
13,C,2.7031,2.008,0.7301
14,H,-0.4939,2.404,-1.2785
15,C,1.587,2.9347,-1.1489
16,H,-0.0982,3.5057,0.0703
17,H,-1.2376,0.4562,2.0858
18,H,-2.5695,-0.7279,1.959
19,C,-2.98,1.1844,1.0576
20,H,-1.8791,-1.3097,-1.5895
21,C,-3.3431,0.1808,-1.063
22,H,-2.972,-1.7804,-0.2566
23,H,0.2999,-1.2309,2.1851
24,H,1.9319,-1.9406,2.0631
25,C,0.3708,-3.1429,1.1986
26,H,3.061,-1.9133,-0.1089
27,H,2.2002,-1.1668,-1.4844
28,C,1.4546,-3.1044,-0.9124
29,H,3.0111,1.1139,0.1554
30,H,3.4547,2.2104,1.4976
31,H,1.8619,2.0778,-1.7885
32,H,1.5058,3.8282,-1.7728
33,H,-2.3979,2.0134,0.6143
34,H,-3.483,1.5506,1.9564
35,H,-2.7611,0.9677,-1.5776
36,H,-4.1149,-0.1855,-1.7441
37,H,-0.6223,-2.9795,0.7413
38,H,0.245,-3.7273,2.114
39,H,2.1188,-3.6672,-1.5726
40,H,0.5004,-2.9202,-1.4401
41,N,-3.9844,0.6883,0.1359
42,C,-4.9754,1.696,-0.1697
43,H,-5.7292,1.2642,-0.8265
44,H,-4.545,2.5819,-0.6633
45,H,-5.4575,2.0125,0.7544
46,N,1.2525,-3.8692,0.3043
47,C,0.7547,-5.1982,0.0265
48,H,0.6598,-5.7457,0.9634
49,H,1.4684,-5.7181,-0.611
50,H,-0.2252,-5.1895,-0.4769
51,N,2.5851,3.1758,-0.122
52,C,3.8586,3.5526,-0.6945
53,H,4.5614,3.7645,0.1103
54,H,3.7267,4.4551,-1.2896
55,H,4.2858,2.7669,-1.3375
