,atom,x,y,z
0,P,-0.1332,0.608,-1.217
1,N,0.8934,1.8061,-0.6487
2,N,-1.4443,0.7098,-0.1859
3,N,0.7771,-0.7782,-1.0052
4,O,-0.5528,0.7405,-2.6138
5,C,0.6017,2.855,0.2832
6,C,2.2237,1.9096,-1.1907
7,C,-2.7801,0.8638,-0.7185
8,C,-1.4199,0.3887,1.221
9,C,1.6866,-1.0885,0.0689
10,C,0.5702,-1.9063,-1.8794
11,H,-0.4521,2.8204,0.5542
12,H,0.7934,3.8252,-0.1972
13,C,1.5023,2.7062,1.5272
14,H,2.4451,0.9764,-1.7102
15,C,3.2259,2.1736,-0.0474
16,H,2.278,2.7265,-1.9249
17,H,-2.6959,1.0144,-1.7941
18,H,-3.2492,1.7523,-0.2736
19,C,-3.6228,-0.3797,-0.4153
20,H,-0.3895,0.1986,1.5212
21,C,-2.2991,-0.8407,1.5034
22,H,-1.7997,1.2436,1.8006
23,H,1.7972,-0.219,0.7193
24,H,2.6676,-1.3277,-0.3654
25,C,1.2162,-2.3142,0.8532
26,H,1.5221,-2.1741,-2.3567
27,H,-0.1475,-1.6208,-2.6486
28,C,0.0713,-3.1107,-1.0852
29,H,0.9472,2.2597,2.3575
30,H,1.8561,3.7017,1.8523
31,H,4.1182,1.5594,-0.1803
32,H,3.5407,3.2323,-0.0532
33,H,-3.1885,-1.2335,-0.9464
34,H,-4.6472,-0.2377,-0.7648
35,H,-1.8581,-1.7107,1.005
36,H,-2.3377,-1.0369,2.5779
37,H,0.2835,-2.0808,1.397
38,H,1.9791,-2.585,1.5882
39,H,-0.0289,-3.9731,-1.7486
40,H,-0.925,-2.8833,-0.6602
41,N,-3.6525,-0.7177,0.9983
42,C,-4.5096,0.1351,1.7934
43,H,-4.2043,1.19,1.8269
44,H,-4.5299,-0.2488,2.8133
45,H,-5.519,0.0841,1.3868
46,N,1.0335,-3.4386,-0.0481
47,C,0.6697,-4.6424,0.6645
48,H,1.4472,-4.8748,1.3912
49,H,0.5967,-5.4665,-0.0437
50,H,-0.2916,-4.551,1.1965
51,N,2.6127,1.8197,1.2208
52,C,3.5658,1.7654,2.3048
53,H,3.0523,1.4511,3.213
54,H,4.0506,2.7357,2.4973
55,H,4.335,1.0317,2.068
