,atom,x,y,z
0,P,-0.4044,-0.0646,-0.5633
1,N,0.9908,-0.954,-0.8265
2,N,0.0893,1.4634,-0.0448
3,N,-1.2541,-0.7049,0.7821
4,O,-1.2019,-0.026,-1.7978
5,C,1.0549,-1.7291,-2.0551
6,C,1.9991,-1.331,0.1448
7,C,0.3875,2.3633,-1.1436
8,C,-0.2928,2.072,1.2114
9,C,-1.2197,-2.1528,0.9338
10,C,-2.5953,-0.1353,0.8167
11,H,0.0706,-1.7002,-2.5228
12,H,1.2986,-2.7736,-1.8186
13,C,2.0762,-1.1694,-3.0415
14,H,1.7868,-2.3376,0.5396
15,C,2.1219,-0.3509,1.2929
16,H,2.9609,-1.3878,-0.3791
17,H,-0.0534,3.3458,-0.9426
18,H,-0.0804,1.9633,-2.0482
19,C,1.8879,2.5019,-1.3914
20,H,-1.1858,2.7042,1.0783
21,C,0.7974,2.94,1.8386
22,H,-0.5491,1.2652,1.8983
23,H,-0.5369,-2.5789,0.1924
24,H,-2.2128,-2.5713,0.7301
25,C,-0.7693,-2.5792,2.3304
26,H,-3.2641,-0.6847,0.139
27,H,-2.5246,0.885,0.4321
28,C,-3.1942,-0.1165,2.2174
29,H,1.7911,-0.1604,-3.3266
30,H,2.1032,-1.7905,-3.9332
31,H,3.0744,-1.1437,-2.6093
32,H,1.1603,-0.2271,1.7801
33,H,2.4564,0.6111,0.9194
34,H,2.8461,-0.7225,2.0161
35,H,2.062,3.1279,-2.2639
36,H,2.3184,1.521,-1.5727
37,H,2.3901,2.9498,-0.5378
38,H,1.0316,3.7908,1.2045
39,H,1.7045,2.3701,2.0125
40,H,0.44,3.3189,2.7939
41,H,0.2352,-2.2208,2.5351
42,H,-0.7715,-3.665,2.3987
43,H,-1.4346,-2.1821,3.0913
44,H,-3.4071,-1.1247,2.5629
45,H,-4.1264,0.4432,2.2057
46,H,-2.5128,0.3579,2.9194
