,atom,x,y,z
0,P,0.3424,-0.01,-0.6745
1,N,-0.7878,-0.9225,0.2039
2,N,1.8475,-0.3067,0.0276
3,N,0.1584,1.615,-0.355
4,O,0.2902,-0.3061,-2.1059
5,C,-1.6271,-0.3991,1.2566
6,C,-1.5422,-1.9508,-0.4925
7,C,2.7276,-1.1784,-0.7254
8,C,1.9256,-0.785,1.3949
9,C,0.6584,2.4163,0.7362
10,C,-0.8242,2.4056,-1.0598
11,H,-1.2969,0.5919,1.5626
12,H,-1.5899,-1.0732,2.1246
13,C,-3.032,-0.4072,0.651
14,H,-1.3138,-1.9011,-1.5575
15,C,-3.0305,-1.6894,-0.1862
16,H,-1.2452,-2.9399,-0.1222
17,H,3.7633,-0.8733,-0.538
18,H,2.5106,-1.0917,-1.788
19,C,2.4614,-2.5768,-0.1626
20,H,2.7978,-0.3205,1.8706
21,C,2.1132,-2.3139,1.3104
22,H,1.0317,-0.5106,1.9526
23,H,1.4712,3.0589,0.3724
24,H,1.0547,1.7907,1.5335
25,C,-0.5323,3.29,1.1825
26,H,-1.471,1.7592,-1.6524
27,H,-0.3191,3.1055,-1.7382
28,C,-1.56,3.1816,0.0413
29,H,-3.1541,0.4614,0.0026
30,H,-3.816,-0.3967,1.4064
31,H,-3.6144,-1.5767,-1.0975
32,H,-3.4484,-2.5181,0.3856
33,H,3.3169,-3.2395,-0.2793
34,H,1.6072,-3.0099,-0.6842
35,H,2.9105,-2.6414,1.9767
36,H,1.1976,-2.8303,1.5944
37,H,-0.2132,4.3196,1.3352
38,H,-0.9543,2.932,2.1218
39,H,-2.4417,2.6337,0.3735
40,H,-1.8846,4.1587,-0.3112
