,atom,x,y,z
0,P,-0.3358,-0.1121,-0.5147
1,N,-1.3692,-0.7315,0.6761
2,N,1.1184,-0.7942,-0.0528
3,N,-0.5105,1.5325,-0.2007
4,O,-0.5952,-0.3858,-1.9305
5,C,-2.7378,-0.2211,0.6147
6,C,-1.4572,-2.1828,0.6686
7,C,2.1552,-1.0033,-1.0595
8,C,1.6897,-0.8371,1.2763
9,C,0.1134,2.4512,-1.1279
10,C,-0.3401,2.1237,1.1083
11,H,-2.7818,0.6131,-0.0886
12,H,-3.0267,0.1462,1.6061
13,C,-3.6407,-1.3897,0.1763
14,H,-0.5289,-2.6157,0.2953
15,C,-2.6561,-2.4872,-0.2245
16,H,-1.6356,-2.5321,1.6935
17,H,2.1782,-0.1641,-1.761
18,H,1.9475,-1.9077,-1.6391
19,C,3.4646,-1.1207,-0.2716
20,H,1.1523,-0.1781,1.9552
21,C,3.1503,-0.4469,1.0638
22,H,1.6336,-1.8601,1.6759
23,H,-0.5572,3.305,-1.2843
24,H,0.2869,1.9576,-2.0831
25,C,1.3933,2.9048,-0.4169
26,H,-0.4049,1.36,1.8809
27,H,-1.1553,2.8412,1.2665
28,C,1.0116,2.8682,1.073
29,H,-4.2955,-1.1062,-0.645
30,H,-4.2581,-1.7224,1.0119
31,H,-2.3576,-2.3625,-1.2654
32,H,-3.0536,-3.4899,-0.078
33,H,4.2979,-0.6528,-0.7925
34,H,3.7076,-2.1705,-0.1048
35,H,3.2447,0.6359,0.971
36,H,3.7971,-0.7866,1.8708
37,H,1.7134,3.8935,-0.7407
38,H,2.1974,2.1978,-0.6254
39,H,1.7651,2.3476,1.6628
40,H,0.9047,3.8729,1.48
