,atom,x,y,z
0,P,0.177,-0.1661,-0.6995
1,N,-1.0769,-1.0112,0.0241
2,N,1.4963,-0.7103,0.2115
3,N,0.2837,1.4752,-0.3713
4,O,0.1925,-0.4129,-2.1435
5,C,-1.5181,-0.8778,1.3929
6,C,-2.2277,-1.4243,-0.7454
7,C,2.7807,-0.2083,-0.256
8,C,1.6524,-2.1589,0.2352
9,C,-0.5471,2.3954,-1.1148
10,C,0.4814,2.0691,0.9303
11,H,-0.8823,-0.1819,1.9354
12,H,-1.4519,-1.8572,1.8857
13,C,-2.9952,-0.4335,1.3206
14,H,-2.0554,-1.2355,-1.8033
15,C,-3.3942,-0.6276,-0.1523
16,H,-2.3902,-2.4996,-0.5971
17,H,2.8599,0.8618,-0.0672
18,H,2.9002,-0.3824,-1.3349
19,C,3.791,-1.0377,0.5371
20,H,0.8867,-2.6045,0.8703
21,C,3.0734,-2.3785,0.7721
22,H,1.5547,-2.5805,-0.7754
23,H,-1.0091,1.8833,-1.958
24,H,0.0801,3.2097,-1.4986
25,C,-1.5534,2.9413,-0.0911
26,H,1.3055,2.7916,0.8581
27,H,0.7563,1.309,1.6597
28,C,-0.8266,2.8149,1.2601
29,H,-3.113,0.6057,1.6252
30,H,-3.6086,-1.0448,1.9812
31,H,-3.4785,0.3339,-0.66
32,H,-4.3411,-1.1533,-0.2586
33,H,4.007,-0.5512,1.488
34,H,4.7259,-1.157,-0.0072
35,H,3.0502,-2.6212,1.8337
36,H,3.563,-3.1978,0.2484
37,H,-2.46,2.337,-0.0966
38,H,-1.8312,3.9698,-0.3145
39,H,-0.614,3.7904,1.6949
40,H,-1.427,2.255,1.9762
