,atom,x,y,z
0,P,0.014,-0.1314,-0.688
1,N,-1.2515,-1.0728,-0.1317
2,N,1.4309,-0.7701,-0.1068
3,N,-0.0537,1.323,0.2005
4,O,-0.0025,-0.004,-2.1472
5,C,-1.5857,-1.2026,1.2773
6,C,-2.4331,-1.2865,-0.9665
7,C,1.8288,-0.9298,1.2701
8,C,2.2469,-1.6702,-0.8884
9,C,-1.2598,2.1028,-0.0344
10,C,1.034,2.2444,-0.0979
11,H,-1.0964,-0.423,1.8627
12,H,-1.2525,-2.1819,1.6471
13,C,-3.1104,-1.1241,1.323
14,H,-2.7409,-0.3548,-1.4518
15,C,-3.5035,-1.7849,0.0031
16,H,-2.2091,-2.0125,-1.7512
17,H,1.407,-1.8482,1.7029
18,H,1.494,-0.0784,1.8614
19,C,3.3599,-1.0493,1.1843
20,H,1.9054,-2.7105,-0.7878
21,C,3.638,-1.5075,-0.2615
22,H,2.1994,-1.3858,-1.9383
23,H,-2.1226,1.6126,0.4182
24,H,-1.4492,2.2231,-1.1119
25,C,-0.9451,3.4604,0.6033
26,H,1.1419,2.3823,-1.183
27,H,1.9728,1.857,0.2965
28,C,0.5915,3.5518,0.5666
29,H,-3.4392,-0.0837,1.3345
30,H,-3.5272,-1.6308,2.1915
31,H,-4.5072,-1.5186,-0.3223
32,H,-3.4434,-2.8693,0.1023
33,H,3.7386,-1.7601,1.917
34,H,3.8294,-0.0852,1.3758
35,H,4.1993,-2.4395,-0.2946
36,H,4.2048,-0.7482,-0.798
37,H,-1.3051,3.4881,1.6313
38,H,-1.4192,4.2722,0.0546
39,H,0.9383,4.4169,0.0043
40,H,0.9935,3.6183,1.577
