,atom,x,y,z
0,P,-0.0859,0.0013,-0.6902
1,N,0.9094,-1.2817,-0.269
2,N,0.6485,1.4296,-0.2099
3,C,-1.6063,-0.1003,0.3273
4,O,-0.3867,-0.0265,-2.1219
5,C,1.0338,-2.3942,-1.1938
6,C,1.4329,-1.4384,1.0662
7,C,0.5223,2.0262,1.099
8,C,1.3089,2.1951,-1.249
9,H,0.1085,-2.4648,-1.771
10,H,1.1522,-3.3177,-0.6162
11,C,2.1918,-2.2308,-2.1739
12,H,1.0271,-0.6257,1.6719
13,C,2.9598,-1.4039,1.1216
14,H,1.0866,-2.3873,1.5019
15,H,-0.1205,1.3772,1.7001
16,H,0.0164,2.9994,1.0102
17,C,1.8496,2.2406,1.8258
18,H,0.7671,2.0212,-2.183
19,C,2.7638,1.7848,-1.4576
20,H,1.2422,3.2595,-1.0011
21,H,2.0183,-1.3485,-2.7838
22,H,2.2472,-3.0993,-2.8262
23,H,3.1405,-2.1212,-1.6554
24,H,3.2927,-1.3749,2.1572
25,H,3.3335,-0.5247,0.603
26,H,3.3821,-2.2888,0.6527
27,H,2.4533,2.9856,1.3144
28,H,2.4128,1.314,1.8858
29,H,1.6542,2.5959,2.8353
30,H,2.8029,0.7243,-1.6927
31,H,3.3627,1.9695,-0.5694
32,H,3.1908,2.3434,-2.2875
33,C,-2.4792,0.9778,0.2786
34,C,-1.9745,-1.2542,0.9993
35,C,-3.1951,-1.3165,1.6505
36,C,-4.0539,-0.231,1.6193
37,C,-3.6984,0.9161,0.9267
38,H,-2.1884,1.8577,-0.2785
39,H,-1.3075,-2.1043,1.0087
40,H,-3.4788,-2.2156,2.1785
41,H,-5.006,-0.2816,2.127
42,H,-4.3755,1.7571,0.8894
